ts,Close,Low,High,Open,Volume
2021-01-05 10:48:00,11.6,11.55,11.6,11.6,58
2021-01-05 10:49:00,11.6,11.6,11.6,11.6,3
2021-01-05 10:50:00,11.6,11.55,11.6,11.6,12
2021-01-05 10:51:00,11.6,11.6,11.6,11.6,14
2021-01-05 10:53:00,11.6,11.6,11.6,11.6,9
2021-01-05 10:54:00,11.6,11.6,11.6,11.6,1
2021-01-05 10:55:00,11.6,11.55,11.6,11.6,55
2021-01-05 10:57:00,11.55,11.55,11.6,11.6,6
2021-01-05 10:58:00,11.6,11.6,11.6,11.6,3
2021-01-05 10:59:00,11.65,11.6,11.65,11.6,25
2021-01-05 11:00:00,11.65,11.65,11.65,11.65,4
2021-01-05 11:01:00,11.6,11.6,11.65,11.65,18
2021-01-05 11:02:00,11.6,11.6,11.6,11.6,12
2021-01-05 11:03:00,11.6,11.6,11.6,11.6,26
2021-01-05 11:04:00,11.6,11.6,11.6,11.6,7
2021-01-05 11:05:00,11.6,11.6,11.6,11.6,2
2021-01-05 11:06:00,11.55,11.55,11.6,11.6,12
2021-01-05 11:07:00,11.55,11.55,11.6,11.6,3
2021-01-05 11:08:00,11.6,11.6,11.6,11.6,7
2021-01-05 11:09:00,11.6,11.6,11.6,11.6,6
2021-01-05 11:10:00,11.55,11.55,11.55,11.55,20
2021-01-05 11:11:00,11.6,11.55,11.6,11.55,112
2021-01-05 11:12:00,11.6,11.6,11.6,11.6,17
2021-01-05 11:13:00,11.6,11.6,11.65,11.65,18
2021-01-05 11:14:00,11.6,11.6,11.6,11.6,3
2021-01-05 11:15:00,11.65,11.65,11.65,11.65,15
2021-01-05 11:18:00,11.6,11.6,11.6,11.6,6
2021-01-05 11:19:00,11.6,11.6,11.6,11.6,13
2021-01-05 11:20:00,11.65,11.6,11.65,11.6,2
2021-01-05 11:21:00,11.6,11.6,11.6,11.6,5
2021-01-05 11:22:00,11.6,11.6,11.6,11.6,11
2021-01-05 11:23:00,11.6,11.6,11.6,11.6,18
2021-01-05 11:24:00,11.6,11.6,11.6,11.6,6
2021-01-05 11:26:00,11.6,11.6,11.6,11.6,4
2021-01-05 11:27:00,11.6,11.6,11.6,11.6,11
2021-01-05 11:28:00,11.6,11.6,11.6,11.6,1
2021-01-05 11:29:00,11.6,11.6,11.6,11.6,2
2021-01-05 11:30:00,11.6,11.6,11.6,11.6,10
2021-01-05 11:32:00,11.6,11.6,11.6,11.6,3
2021-01-05 11:33:00,11.6,11.6,11.6,11.6,41
2021-01-05 11:34:00,11.65,11.65,11.65,11.65,2
2021-01-05 11:35:00,11.6,11.6,11.6,11.6,2
2021-01-05 11:36:00,11.6,11.6,11.6,11.6,6
2021-01-05 11:37:00,11.6,11.6,11.6,11.6,1
2021-01-05 11:38:00,11.6,11.6,11.6,11.6,32
2021-01-05 11:39:00,11.6,11.6,11.6,11.6,36
2021-01-05 11:40:00,11.6,11.6,11.6,11.6,4
2021-01-05 11:41:00,11.6,11.6,11.6,11.6,28
2021-01-05 11:42:00,11.6,11.6,11.6,11.6,10
2021-01-05 11:43:00,11.6,11.6,11.65,11.65,4
2021-01-05 11:44:00,11.6,11.6,11.6,11.6,3
2021-01-05 11:45:00,11.6,11.6,11.6,11.6,11
2021-01-05 11:47:00,11.6,11.6,11.6,11.6,4
2021-01-05 11:48:00,11.6,11.6,11.6,11.6,2
2021-01-05 11:49:00,11.6,11.6,11.6,11.6,1
2021-01-05 11:50:00,11.6,11.6,11.6,11.6,1
2021-01-05 11:51:00,11.6,11.6,11.6,11.6,3
2021-01-05 11:52:00,11.6,11.6,11.6,11.6,7
2021-01-05 11:53:00,11.6,11.6,11.6,11.6,12
2021-01-05 11:54:00,11.65,11.65,11.65,11.65,5
2021-01-05 11:55:00,11.6,11.6,11.6,11.6,2
2021-01-05 11:56:00,11.6,11.6,11.6,11.6,3
2021-01-05 11:57:00,11.6,11.6,11.6,11.6,30
2021-01-05 11:58:00,11.6,11.6,11.6,11.6,6
2021-01-05 11:59:00,11.65,11.6,11.65,11.6,10
2021-01-05 12:00:00,11.6,11.6,11.65,11.65,5
2021-01-05 12:01:00,11.6,11.6,11.6,11.6,6
2021-01-05 12:02:00,11.6,11.6,11.65,11.6,8
2021-01-05 12:03:00,11.65,11.6,11.65,11.65,8
2021-01-05 12:04:00,11.6,11.6,11.6,11.6,3
2021-01-05 12:05:00,11.65,11.65,11.65,11.65,3
2021-01-05 12:06:00,11.6,11.6,11.6,11.6,25
2021-01-05 12:08:00,11.65,11.6,11.65,11.6,23
2021-01-05 12:09:00,11.65,11.65,11.65,11.65,1
2021-01-05 12:10:00,11.6,11.6,11.65,11.6,301
2021-01-05 12:11:00,11.6,11.6,11.6,11.6,2
2021-01-05 12:12:00,11.55,11.55,11.55,11.55,4
2021-01-05 12:13:00,11.6,11.55,11.6,11.55,7
